id_lower,year,radio,population,users,attractiveness,cells_to_build
-102.16696033150754_19.555329571527224,NA,NA,39,9,0.0,0
-101.89746574627168_18.876722638813067,NA,NA,16,4,0.0,0
-102.70594950197923_22.157348066763056,NA,NA,0,0,0.0,0
-102.6161179735673_22.157348066763056,NA,NA,21,5,0.0,0
-102.70594950197923_22.323644662951814,NA,NA,3,0,0.0,0
-102.52628644515534_23.317226998408007,NA,NA,5,1,0.0,0
-102.52628644515534_23.48211388939773,NA,NA,37,9,0.0,0
-102.4364549167434_23.729057835540004,NA,NA,19,4,0.0,0
-102.34662338833144_23.399696111112384,NA,NA,33,8,0.0,0
-102.34662338833144_23.564480194787976,NA,NA,27,6,0.0,0
-102.07712880309558_23.729057835540004,NA,NA,4,1,0.0,0
-102.70594950197923_23.893427935812323,NA,NA,0,0,0.0,0
-102.70594950197923_24.630496059242333,NA,NA,27,6,0.0,0
-102.6161179735673_23.893427935812323,NA,NA,2,0,0.0,0
-102.6161179735673_24.221541165812983,NA,NA,0,0,0.0,0
-102.6161179735673_24.30343806840572,NA,NA,0,0,0.0,0
-102.52628644515534_24.221541165812983,NA,NA,15,3,0.0,0
-102.52628644515534_24.30343806840572,NA,NA,0,0,0.0,0
-102.52628644515534_24.385282141599326,NA,NA,8,2,0.0,0
-102.4364549167434_23.893427935812323,NA,NA,35,8,0.0,0
-102.4364549167434_24.139591567151705,NA,NA,35,8,0.0,0
-102.4364549167434_24.221541165812983,NA,NA,12,3,0.0,0
-102.4364549167434_24.385282141599326,NA,NA,9,2,0.0,0
-102.34662338833144_24.385282141599326,NA,NA,22,5,0.0,0
-102.2567918599195_23.893427935812323,NA,NA,5,1,0.0,0
-102.2567918599195_24.221541165812983,NA,NA,4,1,0.0,0
-102.2567918599195_24.30343806840572,NA,NA,17,4,0.0,0
-102.2567918599195_24.385282141599326,NA,NA,4,1,0.0,0
-102.16696033150754_23.893427935812323,NA,NA,0,0,0.0,0
-102.16696033150754_23.975534817529628,NA,NA,2,0,0.0,0
-102.16696033150754_24.057589406269315,NA,NA,7,1,0.0,0
-102.16696033150754_24.139591567151705,NA,NA,39,9,0.0,0
-102.07712880309558_23.893427935812323,NA,NA,8,2,0.0,0
-102.07712880309558_24.221541165812983,NA,NA,37,9,0.0,0
