year,id_lower,id_upper,population,area_km2,population_km2,users,cells_to_build,radio,cost,population_served,motorway,primary,secondary,tertiary,trunk,total,attractiveness
2000,-100.5499928200924_25.687495726925793,-100.50507705588642_25.889022851998433,12419,81,153.320987654321,3104.75,1,gsm,100000,12419,48.4,10.6,0.0,13.5,33.6,106.1,484000.0
2000,-88.78206259812667_20.736001700460776,-88.82697836233264_20.945304610476846,1956,87,22.48275862068965,489.0,1,gsm,100000,1956,48.4,23.0,2.0,0.0,0.0,73.4,484000.0
2000,-99.47201447914898_19.30118067727593,-99.6067617717669_19.25824126810751,167338,89,1880.202247191012,41834.5,5,gsm,500000,167338,48.2,28.1,22.3,38.5,0.0,137.10000000000002,482000.0
2000,-116.36034182059598_32.50987222650548,-116.6747521700378_32.16754498931748,1449,71,20.408450704225352,362.25,1,gsm,100000,1449,47.8,0.0,0.0,43.2,12.5,103.5,478000.0
2000,-111.0602816442908_29.66395433502847,-111.28486046532069_29.858158417710026,23,75,0.3066666666666666,5.75,1,gsm,100000,23,47.5,0.0,8.3,0.0,0.0,55.8,475000.0
2000,-99.29235142232508_25.76842180371728,-99.6067617717669_25.889022851998433,33,81,0.4074074074074074,8.25,1,gsm,100000,33,47.5,13.9,0.0,0.0,0.0,61.4,475000.0
2000,-116.8993309910677_32.43408551428,-116.6747521700378_32.16754498931748,184621,71,2600.295774647888,46155.25,5,gsm,500000,184621,47.4,15.1,29.1,51.8,24.7,168.09999999999997,474000.0
2000,-99.83134059279678_26.895541683016987,-99.6067617717669_26.694378202546382,158,79,2.0,39.5,1,gsm,100000,158,47.4,22.4,7.7,32.8,0.0,110.3,474000.0
2000,-100.81948740532826_22.323644662951814,-100.50507705588642_22.613568031756117,1604,85,18.87058823529412,401.0,1,gsm,100000,1604,47.3,0.0,8.9,17.4,0.0,73.6,473000.0
2000,-103.51443325768682_20.483755405236035,-103.20002290824499_20.104045576200285,68698,87,789.6321839080459,17174.5,2,gsm,200000,68698,47.3,9.1,18.6,9.2,0.0,84.2,473000.0
2000,-99.20251989391312_19.80907865997758,-99.6067617717669_20.104045576200285,266319,88,3026.3522727272725,66579.75,7,gsm,700000,266319,47.1,0.0,42.0,48.4,10.6,148.1,471000.0
2000,-100.46016129168045_22.904116301036076,-100.50507705588642_22.613568031756117,3012,84,35.857142857142854,753.0,1,gsm,100000,3012,47.0,6.9,0.0,6.1,0.0,60.0,470000.0
2000,-104.95173771227806_21.155477408046544,-104.99665347648403_20.945304610476846,766,87,8.804597701149426,191.5,1,gsm,100000,766,47.0,0.0,11.7,0.0,0.0,58.7,470000.0
2000,-100.5499928200924_21.322936931606314,-100.50507705588642_20.945304610476846,74110,86,861.7441860465116,18527.5,2,gsm,200000,74110,46.9,26.5,0.0,58.1,0.0,131.5,469000.0
2000,-100.28049823485654_24.46707325258056,-100.50507705588642_24.261843284963483,110,82,1.3414634146341464,27.5,1,gsm,100000,110,46.8,0.0,0.0,11.5,0.0,58.3,468000.0
2000,-93.90245971760794_18.02459368888261,-94.21687006704977_18.408052407294335,2536,90,28.177777777777777,634.0,1,gsm,100000,2536,46.8,16.7,0.0,0.0,0.0,63.5,468000.0
2000,-104.5025800702183_26.815398614221458,-104.09833819236451_26.694378202546382,14,79,0.1772151898734177,3.5,1,gsm,100000,14,46.6,18.8,0.0,0.0,0.0,65.4,466000.0
2000,-99.11268836550116_19.724540322063106,-98.70844648764738_20.104045576200285,292143,88,3319.806818181818,73035.75,8,gsm,800000,292143,46.6,3.7,35.5,79.0,0.0,164.8,466000.0
2000,-111.0602816442908_28.328290144155623,-111.28486046532069_28.288018668890736,33,77,0.4285714285714285,8.25,1,gsm,100000,33,46.5,0.0,10.1,0.0,0.0,56.6,465000.0
2000,-100.81948740532826_22.24052103602208,-100.50507705588642_22.613568031756117,1610,85,18.94117647058824,402.5,1,gsm,100000,1610,46.2,0.0,0.0,19.4,0.0,65.6,462000.0
2000,-100.3703297632685_24.793705436249,-100.50507705588642_25.078136039742063,307,82,3.7439024390243913,76.75,1,gsm,100000,307,46.1,0.0,0.0,2.6,0.0,48.7,461000.0
2000,-100.28049823485654_20.56788388181208,-100.50507705588642_20.945304610476846,50760,87,583.448275862069,12690.0,2,gsm,200000,50760,45.7,4.5,39.2,49.9,0.0,139.3,457000.0
2000,-97.76521543932188_18.961701137971993,-97.81013120352786_19.25824126810751,75927,89,853.1123595505618,18981.75,2,gsm,200000,75927,45.7,13.5,21.1,26.3,0.0,106.6,457000.0
2000,-100.5499928200924_21.23923094804045,-100.50507705588642_20.945304610476846,7616,86,88.55813953488372,1904.0,1,gsm,100000,7616,45.6,0.0,0.0,9.4,0.0,55.0,456000.0
2000,-100.81948740532826_21.99085468608476,-100.50507705588642_21.781862442026636,6703,86,77.94186046511628,1675.75,1,gsm,100000,6703,45.6,14.9,10.6,1.1,0.0,72.19999999999999,456000.0
2000,-104.8619061838661_21.490205623732116,-104.99665347648403_21.781862442026636,392618,86,4565.325581395349,98154.5,10,gsm,1000000,392618,45.6,73.2,72.3,100.3,13.2,304.6,456000.0
2000,-100.3703297632685_20.651966032043,-100.50507705588642_20.945304610476846,224383,87,2579.114942528736,56095.75,6,gsm,600000,224383,45.5,16.0,54.1,129.2,48.5,293.29999999999995,455000.0
2000,-110.97045011587883_30.596267157841,-111.28486046532069_30.634157640604073,28265,74,381.9594594594595,7066.25,1,gsm,100000,28265,45.5,6.8,14.2,17.7,0.0,84.2,455000.0
2000,-98.57369919502945_19.893572092467096,-98.70844648764738_20.104045576200285,9236,88,104.95454545454544,2309.0,1,gsm,100000,9236,45.5,0.0,21.5,6.2,0.0,73.2,455000.0
2000,-103.15510714403902_25.525478648254804,-103.20002290824499_25.889022851998433,5323,81,65.71604938271605,1330.75,1,gsm,100000,5323,45.4,0.0,0.0,2.9,16.9,65.19999999999999,454000.0
2000,-116.8993309910677_32.50987222650548,-116.6747521700378_32.16754498931748,470437,70,6720.528571428571,117609.25,12,gsm,1200000,470437,45.4,109.1,37.5,143.6,18.3,353.90000000000003,454000.0
2000,-94.98043805855136_17.93915008306695,-95.11518535116929_17.55364439805181,8625,90,95.83333333333331,2156.25,1,gsm,100000,8625,45.4,16.2,0.0,41.9,7.1,110.6,454000.0
2000,-104.05342242815854_18.961701137971993,-104.09833819236451_19.25824126810751,1966,88,22.34090909090909,491.5,1,gsm,100000,1966,45.3,16.3,4.8,0.0,0.0,66.39999999999999,453000.0
2000,-105.31106382592586_22.323644662951814,-104.99665347648403_22.613568031756117,1669,85,19.63529411764706,417.25,1,gsm,100000,1669,45.3,0.0,0.0,12.3,20.6,78.19999999999999,453000.0
2000,-98.75336225185336_19.80907865997758,-98.70844648764738_20.104045576200285,11692,88,132.86363636363637,2923.0,1,gsm,100000,11692,45.3,13.9,26.1,17.4,0.0,102.7,453000.0
2000,-100.5499928200924_23.152135326203435,-100.50507705588642_23.440275316683813,543,84,6.464285714285714,135.75,1,gsm,100000,543,45.2,0.0,0.0,43.5,0.0,88.7,452000.0
2000,-111.0602816442908_28.486319482889648,-111.28486046532069_28.288018668890736,0,77,0.0,0.0,0,gsm,0,0,45.2,0.0,0.0,0.0,0.0,45.2,452000.0
2000,-99.38218295073702_19.30118067727593,-99.6067617717669_19.25824126810751,22769,89,255.8314606741573,5692.25,1,gsm,100000,22769,45.2,20.2,16.9,9.5,17.4,109.20000000000002,452000.0
2000,-103.96359089974658_20.903932972415895,-104.09833819236451_20.945304610476846,23293,87,267.735632183908,5823.25,1,gsm,100000,23293,45.1,0.0,0.0,21.5,25.7,92.3,451000.0
2000,-103.96359089974658_26.333353532323734,-104.09833819236451_26.694378202546382,227,80,2.8375,56.75,1,gsm,100000,227,45.1,13.1,0.0,20.1,0.0,78.30000000000001,451000.0
2000,-107.46702050781272_24.630496059242333,-107.6915993288426_24.261843284963483,2330,82,28.414634146341463,582.5,1,gsm,100000,2330,45.1,8.8,5.4,30.0,0.0,89.30000000000001,451000.0
2000,-110.97045011587883_28.88035775780543,-111.28486046532069_29.07607902640035,0,76,0.0,0.0,0,gsm,0,0,45.1,0.0,0.0,0.0,25.1,70.2,451000.0
