id_lower,year,radio,population,users,attractiveness,cells_to_build
-102.9754440872151_23.64679488931916,,,13,3,0.0,0
-102.7957810303912_23.811268896512473,,,2,0,0.0,0
-103.60426478609878_24.30343806840572,,,32,8,0.0,0
-103.60426478609878_24.46707325258056,,,11,2,0.0,0
-103.42460172927488_24.46707325258056,,,23,5,0.0,0
-103.33477020086292_24.057589406269315,,,30,7,0.0,0
-103.33477020086292_24.54881126905396,,,23,5,0.0,0
-103.24493867245096_23.893427935812323,,,35,8,0.0,0
-103.24493867245096_23.975534817529628,,,20,5,0.0,0
-103.15510714403902_24.385282141599326,,,21,5,0.0,0
-102.9754440872151_24.30343806840572,,,14,3,0.0,0
-102.88561255880316_24.221541165812983,,,17,4,0.0,0
-102.88561255880316_24.46707325258056,,,41,10,0.0,0
-102.88561255880316_24.54881126905396,,,38,9,0.0,0
-102.88561255880316_24.630496059242333,,,33,8,0.0,0
-102.7957810303912_23.893427935812323,,,12,3,0.0,0
-102.7957810303912_24.30343806840572,,,11,2,0.0,0
-103.51443325768682_24.875229762108027,,,13,3,0.0,0
-103.33477020086292_24.793705436249,,,12,3,0.0,0
-103.33477020086292_24.875229762108027,,,4,1,0.0,0
-103.24493867245096_25.119479734271003,,,39,9,0.0,0
-103.15510714403902_25.038117040038248,,,20,5,0.0,0
-103.06527561562706_24.956700339764303,,,0,0,0.0,0
-103.06527561562706_25.038117040038248,,,1,0,0.0,0
-103.06527561562706_25.119479734271003,,,2,0,0.0,0
-102.9754440872151_24.875229762108027,,,1,0,0.0,0
-102.9754440872151_24.956700339764303,,,0,0,0.0,0
-102.88561255880316_24.712127491887145,,,33,8,0.0,0
-102.7957810303912_25.28204259258345,,,2,0,0.0,0
-103.60426478609878_26.172222619697713,,,4,1,0.0,0
-103.51443325768682_26.01086869800926,,,35,8,0.0,0
-103.42460172927488_26.252816012613508,,,0,0,0.0,0
